id;exercise_name;body_part;equipment;target;location;style;difficulty;duration_type;default_sets;default_reps;desc;movement_pattern;duration_unit
274;cable bench press;chest;cable;pectorals;gym;strength_training;intermediate;reps;3;10;;horizontal_push;reps
275;cable close grip curl;upper arms;cable;biceps;gym;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
276;cable concentration curl;upper arms;cable;biceps;gym;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
277;cable concentration extension (on knee);upper arms;cable;triceps;gym;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
278;cable cross-over lateral pulldown;back;cable;lats;gym;strength_training;intermediate;reps;3;10;;vertical_pull;reps
279;cable cross-over reverse fly;shoulders;cable;delts;gym;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
280;cable cross-over variation;chest;cable;pectorals;gym;strength_training;intermediate;reps;3;10;;isolation_chest;reps
281;cable curl;upper arms;cable;biceps;gym;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
282;cable deadlift;upper legs;cable;glutes;gym;strength_training;intermediate;reps;3;10;;hinge;reps
283;cable decline fly;chest;cable;pectorals;gym;strength_training;intermediate;reps;3;10;;isolation_chest;reps
284;cable decline one arm press;chest;cable;pectorals;gym;strength_training;advanced;reps;3;10;;isolation_chest;reps
285;cable decline press;chest;cable;pectorals;gym;strength_training;intermediate;reps;3;10;;isolation_chest;reps
286;cable decline seated wide-grip row;back;cable;upper back;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
287;cable drag curl;upper arms;cable;biceps;gym;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
288;cable floor seated wide-grip row;back;cable;upper back;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
289;cable forward raise;shoulders;cable;delts;gym;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
290;cable front raise;shoulders;cable;delts;gym;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
291;cable front shoulder raise;shoulders;cable;delts;gym;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
292;cable hammer curl (with rope);upper arms;cable;biceps;gym;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
293;cable high pulley overhead tricep extension;upper arms;cable;triceps;gym;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
294;cable high row (kneeling);back;cable;upper back;gym;strength_training;beginner;reps;3;10;;horizontal_pull;reps
295;cable hip adduction;upper legs;cable;adductors;gym;strength_training;intermediate;reps;3;10;;glute_isolation;reps
296;cable incline bench press;chest;cable;pectorals;gym;strength_training;intermediate;reps;3;10;;horizontal_push;reps
297;cable incline bench row;back;cable;upper back;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
298;cable incline fly;chest;cable;pectorals;gym;strength_training;intermediate;reps;3;10;;isolation_chest;reps
299;cable incline fly (on stability ball);chest;cable;pectorals;gym;strength_training;intermediate;reps;3;10;;isolation_chest;reps
300;cable incline pushdown;back;cable;lats;gym;strength_training;intermediate;reps;3;10;;isolation_lats;reps
301;cable incline triceps extension;upper arms;cable;triceps;gym;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
302;cable judo flip;waist;cable;abs;gym;strength_training;intermediate;reps;3;10;;core;reps
303;cable kickback;upper arms;cable;triceps;gym;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
304;cable kneeling crunch;waist;cable;abs;gym;strength_training;beginner;reps;3;10;;core;reps
305;cable kneeling rear delt row (with rope) (male);shoulders;cable;delts;gym;strength_training;beginner;reps;3;10;;horizontal_pull;reps
306;cable kneeling triceps extension;upper arms;cable;triceps;gym;strength_training;beginner;reps;3;10;;isolation_triceps;reps
307;cable lat pulldown full range of motion;back;cable;lats;gym;strength_training;intermediate;reps;3;10;;vertical_pull;reps
308;cable lateral pulldown (with rope attachment);back;cable;lats;gym;strength_training;intermediate;reps;3;10;;vertical_pull;reps
309;cable lateral pulldown with v-bar;back;cable;lats;gym;strength_training;intermediate;reps;3;10;;vertical_pull;reps
310;cable lateral raise;shoulders;cable;delts;gym;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
311;cable low fly;chest;cable;pectorals;gym;strength_training;intermediate;reps;3;10;;isolation_chest;reps
312;cable low seated row;back;cable;upper back;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
313;cable lying bicep curl;upper arms;cable;biceps;gym;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
314;cable lying close-grip curl;upper arms;cable;biceps;gym;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
315;cable lying extension pullover (with rope attachment);back;cable;lats;gym;strength_training;intermediate;reps;3;10;;isolation_lats;reps
316;cable lying fly;chest;cable;pectorals;gym;strength_training;intermediate;reps;3;10;;isolation_chest;reps
318;cable middle fly;chest;cable;pectorals;gym;strength_training;intermediate;reps;3;10;;isolation_chest;reps
319;cable one arm bent over row;back;cable;upper back;gym;strength_training;advanced;reps;3;10;;horizontal_pull;reps
320;cable one arm curl;upper arms;cable;biceps;gym;strength_training;advanced;reps;3;10;;isolation_biceps;reps
321;cable one arm decline chest fly;chest;cable;pectorals;gym;strength_training;advanced;reps;3;10;;isolation_chest;reps
322;cable one arm fly on exercise ball;chest;cable;pectorals;gym;strength_training;advanced;reps;3;10;;isolation_chest;reps
323;cable one arm incline fly on exercise ball;chest;cable;pectorals;gym;strength_training;advanced;reps;3;10;;isolation_chest;reps
324;cable one arm incline press;chest;cable;pectorals;gym;strength_training;advanced;reps;3;10;;isolation_chest;reps
325;cable one arm incline press on exercise ball;chest;cable;pectorals;gym;strength_training;advanced;reps;3;10;;isolation_chest;reps
326;cable one arm lateral bent-over;chest;cable;pectorals;gym;strength_training;advanced;reps;3;10;;isolation_chest;reps
327;cable one arm lateral raise;shoulders;cable;delts;gym;strength_training;advanced;reps;3;10;;isolation_shoulders;reps
328;cable one arm preacher curl;upper arms;cable;biceps;gym;strength_training;advanced;reps;3;10;;isolation_biceps;reps
329;cable one arm press on exercise ball;chest;cable;pectorals;gym;strength_training;advanced;reps;3;10;;isolation_chest;reps
330;cable one arm pulldown;back;cable;lats;gym;strength_training;advanced;reps;3;10;;vertical_pull;reps
331;cable one arm reverse preacher curl;upper arms;cable;biceps;gym;strength_training;advanced;reps;3;10;;isolation_biceps;reps
332;cable one arm straight back high row (kneeling);back;cable;upper back;gym;strength_training;advanced;reps;3;10;;horizontal_pull;reps
333;cable one arm tricep pushdown;upper arms;cable;triceps;gym;strength_training;advanced;reps;3;10;;isolation_triceps;reps
334;cable overhead curl;upper arms;cable;biceps;gym;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
335;cable overhead curl on exercise ball;upper arms;cable;biceps;gym;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
336;cable overhead triceps extension (rope attachment);upper arms;cable;triceps;gym;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
337;cable palm rotational row;back;cable;upper back;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
338;cable preacher curl;upper arms;cable;biceps;gym;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
339;cable press on exercise ball;chest;cable;pectorals;gym;strength_training;intermediate;reps;3;10;;isolation_chest;reps
340;cable pull through (with rope);upper legs;cable;glutes;gym;strength_training;intermediate;reps;3;10;;glute_isolation;reps
341;cable pulldown;back;cable;lats;gym;strength_training;intermediate;reps;3;10;;vertical_pull;reps
342;cable pulldown (pro lat bar);back;cable;lats;gym;strength_training;intermediate;reps;3;10;;vertical_pull;reps
343;cable pulldown bicep curl;upper arms;cable;biceps;gym;strength_training;intermediate;reps;3;10;;vertical_pull;reps
344;cable pushdown;upper arms;cable;triceps;gym;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
346;cable pushdown (with rope attachment);upper arms;cable;triceps;gym;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
347;cable rear delt row (stirrups);shoulders;cable;delts;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
348;cable rear delt row (with rope);shoulders;cable;delts;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
349;cable rear drive;upper arms;cable;triceps;gym;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
350;cable rear pulldown;back;cable;lats;gym;strength_training;intermediate;reps;3;10;;vertical_pull;reps
351;cable reverse crunch;waist;cable;abs;gym;strength_training;intermediate;reps;3;10;;core;reps
352;cable reverse curl;upper arms;cable;biceps;gym;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
353;cable reverse grip triceps pushdown (sz-bar) (with arm blaster);upper arms;cable;triceps;gym;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
354;cable reverse one arm curl;upper arms;cable;biceps;gym;strength_training;advanced;reps;3;10;;isolation_biceps;reps
355;cable reverse preacher curl;upper arms;cable;biceps;gym;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
356;cable reverse wrist curl;lower arms;cable;forearms;gym;strength_training;intermediate;reps;3;10;;isolation_forearms;reps
357;cable reverse-grip pushdown;upper arms;cable;triceps;gym;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
358;cable reverse-grip straight back seated high row;back;cable;upper back;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
359;cable rope crossover seated row;back;cable;upper back;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
360;cable rope elevated seated row;back;cable;upper back;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
361;cable rope extension incline bench row;back;cable;upper back;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
362;cable rope hammer preacher curl;upper arms;cable;biceps;gym;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
363;cable rope high pulley overhead tricep extension;upper arms;cable;triceps;gym;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
364;cable rope incline tricep extension;upper arms;cable;triceps;gym;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
365;cable rope lying on floor tricep extension;upper arms;cable;triceps;gym;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
366;cable rope one arm hammer preacher curl;upper arms;cable;biceps;gym;strength_training;advanced;reps;3;10;;isolation_biceps;reps
367;cable rope seated row;back;cable;upper back;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
368;cable russian twists (on stability ball);waist;cable;abs;gym;strength_training;intermediate;reps;3;10;;core;reps
369;cable seated chest press;chest;cable;pectorals;gym;strength_training;intermediate;reps;3;10;;isolation_chest;reps
370;cable seated crunch;waist;cable;abs;gym;strength_training;intermediate;reps;3;10;;core;reps
371;cable seated curl;upper arms;cable;biceps;gym;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
372;cable seated high row (v-bar);back;cable;lats;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
373;cable seated one arm alternate row;back;cable;upper back;gym;strength_training;advanced;reps;3;10;;horizontal_pull;reps
374;cable seated one arm concentration curl;upper arms;cable;biceps;gym;strength_training;advanced;reps;3;10;;isolation_biceps;reps
375;cable seated overhead curl;upper arms;cable;biceps;gym;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
376;cable seated rear lateral raise;shoulders;cable;delts;gym;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
377;cable seated row;back;cable;upper back;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
378;cable seated shoulder internal rotation;shoulders;cable;delts;gym;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
379;cable seated twist;waist;cable;abs;gym;strength_training;intermediate;reps;3;10;;core;reps
380;cable seated wide-grip row;back;cable;upper back;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
381;cable shoulder press;shoulders;cable;delts;gym;strength_training;intermediate;reps;3;10;;vertical_push;reps
382;cable shrug;back;cable;traps;gym;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
383;cable side bend;waist;cable;abs;gym;strength_training;intermediate;reps;3;10;;core;reps
384;cable side bend crunch (bosu ball);waist;cable;abs;gym;strength_training;intermediate;reps;3;10;;core;reps
385;cable side crunch;waist;cable;abs;gym;strength_training;intermediate;reps;3;10;;core;reps
386;cable squat row (with rope attachment);back;cable;lats;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
387;cable squatting curl;upper arms;cable;biceps;gym;strength_training;intermediate;reps;3;10;;squat;reps
388;cable standing back wrist curl;lower arms;cable;forearms;gym;strength_training;intermediate;reps;3;10;;isolation_forearms;reps
389;cable standing calf raise;lower legs;cable;calves;gym;strength_training;intermediate;reps;3;10;;isolation_calves;reps
390;cable standing cross-over high reverse fly;shoulders;cable;delts;gym;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
391;cable standing crunch;waist;cable;abs;gym;strength_training;intermediate;reps;3;10;;core;reps
392;cable standing crunch (with rope attachment);waist;cable;abs;gym;strength_training;intermediate;reps;3;10;;core;reps
393;cable standing fly;chest;cable;pectorals;gym;strength_training;intermediate;reps;3;10;;isolation_chest;reps
394;cable standing hip extension;upper legs;cable;glutes;gym;strength_training;intermediate;reps;3;10;;glute_isolation;reps
395;cable standing inner curl;upper arms;cable;biceps;gym;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
396;cable standing lift;waist;cable;abs;gym;strength_training;intermediate;reps;3;10;;core;reps
397;cable standing one arm triceps extension;upper arms;cable;triceps;gym;strength_training;advanced;reps;3;10;;isolation_triceps;reps
398;cable standing one leg calf raise;lower legs;cable;calves;gym;strength_training;intermediate;reps;3;10;;isolation_calves;reps
399;cable standing pulldown (with rope);upper arms;cable;biceps;gym;strength_training;intermediate;reps;3;10;;vertical_pull;reps
400;cable standing rear delt row (with rope);shoulders;cable;delts;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
401;cable standing reverse grip one arm overhead tricep extension;upper arms;cable;triceps;gym;strength_training;advanced;reps;3;10;;isolation_triceps;reps
402;cable standing row (v-bar);back;cable;upper back;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
403;cable standing shoulder external rotation;shoulders;cable;delts;gym;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
404;cable standing twist row (v-bar);back;cable;upper back;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
405;cable standing up straight crossovers;chest;cable;pectorals;gym;strength_training;intermediate;reps;3;10;;isolation_chest;reps
406;cable straight arm pulldown;back;cable;lats;gym;strength_training;intermediate;reps;3;10;;vertical_pull;reps
407;cable straight arm pulldown (with rope);back;cable;lats;gym;strength_training;intermediate;reps;3;10;;vertical_pull;reps
408;cable straight back seated row;back;cable;upper back;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
409;cable supine reverse fly;shoulders;cable;delts;gym;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
410;cable thibaudeau kayak row;back;cable;lats;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
411;cable triceps pushdown (v-bar);upper arms;cable;triceps;gym;strength_training;beginner;reps;3;10;;isolation_triceps;reps
412;cable triceps pushdown (v-bar) (with arm blaster);upper arms;cable;triceps;gym;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
413;cable tuck reverse crunch;waist;cable;abs;gym;strength_training;intermediate;reps;3;10;;core;reps
414;cable twist;waist;cable;abs;gym;strength_training;intermediate;reps;3;10;;core;reps
415;cable twist (up-down);waist;cable;abs;gym;strength_training;intermediate;reps;3;10;;core;reps
416;cable twisting pull;back;cable;lats;gym;strength_training;intermediate;reps;3;10;;isolation_lats;reps
417;cable two arm curl on incline bench;upper arms;cable;biceps;gym;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
418;cable two arm tricep kickback;upper arms;cable;triceps;gym;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
419;cable underhand pulldown;back;cable;lats;gym;strength_training;intermediate;reps;3;10;;vertical_pull;reps
420;cable upper chest crossovers;chest;cable;pectorals;gym;strength_training;intermediate;reps;3;10;;isolation_chest;reps
421;cable upper row;back;cable;upper back;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
422;cable upright row;shoulders;cable;delts;gym;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
423;cable wide grip rear pulldown behind neck;back;cable;lats;gym;strength_training;intermediate;reps;3;10;;vertical_pull;reps
424;cable wrist curl;lower arms;cable;forearms;gym;strength_training;intermediate;reps;3;10;;isolation_forearms;reps
425;calf push stretch with hands against wall;lower legs;body weight;calves;both;mobility_flexibility, calisthenics;beginner;time;2;30;;flexibility;seconds
426;calf stretch with hands against wall;lower legs;body weight;calves;both;mobility_flexibility, calisthenics;beginner;time;2;30;;flexibility;seconds
427;calf stretch with rope;lower legs;rope;calves;both;mobility_flexibility, calisthenics;beginner;time;2;30;;flexibility;seconds
428;cambered bar lying row;back;barbell;upper back;both;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
429;captains chair straight leg raise;waist;body weight;abs;both;calisthenics;intermediate;reps;3;12;;core;reps
430;chair leg extended stretch;upper legs;body weight;quads;both;mobility_flexibility, calisthenics;beginner;time;2;30;;flexibility;seconds
431;chest and front of shoulder stretch;chest;body weight;pectorals;both;mobility_flexibility, calisthenics;beginner;time;2;30;;flexibility;seconds
432;chest dip;chest;body weight;pectorals;both;calisthenics;intermediate;reps;3;12;;horizontal_push;reps
433;chest dip (on dip-pull-up cage);chest;body weight;pectorals;both;calisthenics;intermediate;reps;3;12;;horizontal_push;reps
434;chest dip on straight bar;chest;body weight;pectorals;both;calisthenics;intermediate;reps;3;12;;horizontal_push;reps
435;chest stretch with exercise ball;chest;stability ball;pectorals;both;mobility_flexibility, calisthenics;beginner;time;2;30;;flexibility;seconds
436;chest tap push-up (male);chest;body weight;pectorals;both;calisthenics;intermediate;reps;3;12;;isolation_chest;reps
437;chin-up;back;body weight;lats;both;calisthenics;intermediate;reps;3;12;;vertical_pull;reps
438;chin-ups (narrow parallel grip);back;body weight;upper back;both;calisthenics;intermediate;reps;3;12;;horizontal_pull;reps
439;circles knee stretch;lower legs;body weight;calves;both;mobility_flexibility, calisthenics;beginner;time;2;30;;flexibility;seconds
440;clap push up;chest;body weight;pectorals;both;calisthenics;intermediate;reps;3;12;;horizontal_push;reps
441;clock push-up;chest;body weight;pectorals;both;calisthenics;intermediate;reps;3;12;;isolation_chest;reps
442;close grip chin-up;back;body weight;lats;both;calisthenics;intermediate;reps;3;12;;isolation_lats;reps
443;close-grip push-up;upper arms;body weight;triceps;both;calisthenics;intermediate;reps;3;12;;isolation_triceps;reps
444;close-grip push-up (on knees);upper arms;body weight;triceps;both;calisthenics;intermediate;reps;3;12;;isolation_triceps;reps
445;cocoons;waist;body weight;abs;both;calisthenics;intermediate;reps;3;12;;core;reps
446;crab twist toe touch;waist;body weight;abs;both;calisthenics;intermediate;reps;3;12;;core;reps
447;cross body crunch;waist;body weight;abs;both;calisthenics;intermediate;reps;3;12;;core;reps
448;crunch (hands overhead);waist;body weight;abs;both;calisthenics;intermediate;reps;3;12;;core;reps
449;crunch (on stability ball);waist;stability ball;abs;both;calisthenics;intermediate;reps;3;12;;core;reps
450;crunch (on stability ball, arms straight);waist;stability ball;abs;both;calisthenics;intermediate;reps;3;12;;core;reps
451;crunch floor;waist;body weight;abs;both;calisthenics;intermediate;reps;3;12;;core;reps
452;curl-up;waist;body weight;abs;both;calisthenics;intermediate;reps;3;12;;core;reps
453;curtsey squat;upper legs;body weight;glutes;both;calisthenics;intermediate;reps;3;12;;squat;reps
454;cycle cross trainer;full body;leverage machine;cardiovascular system;gym;cardio, strength_training;beginner;time;1;50;;cardio;minutes
455;dead bug;waist;body weight;abs;both;calisthenics;beginner;reps;3;12;;core;reps
456;decline crunch;waist;body weight;abs;both;calisthenics;intermediate;reps;3;12;;core;reps
457;decline push-up;chest;body weight;pectorals;both;calisthenics;intermediate;reps;3;12;;isolation_chest;reps
458;decline sit-up;waist;body weight;abs;both;calisthenics;intermediate;reps;3;12;;core;reps
459;deep push up;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;horizontal_push;reps
460;diamond push-up;upper arms;body weight;triceps;both;calisthenics;intermediate;reps;3;12;;isolation_triceps;reps
461;donkey calf raise;lower legs;body weight;calves;both;calisthenics;intermediate;reps;3;12;;isolation_calves;reps
462;drop push up;chest;body weight;pectorals;both;calisthenics;intermediate;reps;3;12;;horizontal_push;reps
463;dumbbell alternate biceps curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
464;dumbbell alternate biceps curl (with arm blaster);upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
465;dumbbell alternate hammer preacher curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
466;dumbbell alternate preacher curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
467;dumbbell alternate seated hammer curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
468;dumbbell alternate side press;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
469;dumbbell alternating bicep curl with leg raised on exercise ball;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;core;reps
470;dumbbell alternating seated bicep curl on exercise ball;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
471;dumbbell arnold press;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
473;dumbbell around pullover;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
474;dumbbell bench press;chest;dumbbell;pectorals;both;strength_training;beginner;reps;3;10;;horizontal_push;reps
475;dumbbell bench seated press;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
476;dumbbell bench squat;upper legs;dumbbell;glutes;both;strength_training;intermediate;reps;3;10;;squat;reps
477;dumbbell bent over row;back;dumbbell;upper back;both;strength_training;beginner;reps;3;10;;horizontal_pull;reps
478;dumbbell bicep curl lunge with bowling motion;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;lunge;reps
479;dumbbell bicep curl on exercise ball with leg raised;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;core;reps
480;dumbbell bicep curl with stork stance;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
481;dumbbell biceps curl;upper arms;dumbbell;biceps;both;strength_training;beginner;reps;3;10;;isolation_biceps;reps
482;dumbbell biceps curl (with arm blaster);upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
483;dumbbell biceps curl reverse;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
484;dumbbell biceps curl squat;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;squat;reps
485;dumbbell biceps curl v sit on bosu ball;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
486;dumbbell burpee;full body;dumbbell;cardiovascular system;both;hiit, cardio, strength_training;intermediate;time;8;20;;cardio;seconds
487;dumbbell clean;upper legs;dumbbell;glutes;both;crossfit, strength_training;advanced;reps;3;10;;glute_isolation;reps
488;dumbbell close grip press;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
489;dumbbell close-grip press;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
490;dumbbell concentration curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
491;dumbbell contralateral forward lunge;upper legs;dumbbell;glutes;both;strength_training;intermediate;reps;3;10;;lunge;reps
492;dumbbell cross body hammer curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
494;dumbbell cuban press;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
496;dumbbell deadlift;upper legs;dumbbell;glutes;both;strength_training;intermediate;reps;3;10;;hinge;reps
497;dumbbell decline bench press;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;horizontal_push;reps
498;dumbbell decline fly;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
499;dumbbell decline hammer press;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
500;dumbbell decline one arm fly;chest;dumbbell;pectorals;both;strength_training;advanced;reps;3;10;;isolation_chest;reps
501;dumbbell decline one arm hammer press;upper arms;dumbbell;triceps;both;strength_training;advanced;reps;3;10;;isolation_triceps;reps
502;dumbbell decline shrug;back;dumbbell;traps;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
504;dumbbell decline triceps extension;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
505;dumbbell decline twist fly;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
506;dumbbell finger curls;lower arms;dumbbell;forearms;both;strength_training;intermediate;reps;3;10;;isolation_forearms;reps
507;dumbbell fly;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
508;dumbbell fly on exercise ball;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
509;dumbbell forward lunge triceps extension;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;lunge;reps
510;dumbbell front raise;shoulders;dumbbell;delts;both;strength_training;beginner;reps;3;10;;isolation_shoulders;reps
512;dumbbell full can lateral raise;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
513;dumbbell goblet squat;upper legs;dumbbell;quads;both;strength_training;beginner;reps;3;10;;squat;reps
514;dumbbell hammer curl;upper arms;dumbbell;biceps;both;strength_training;beginner;reps;3;10;;isolation_biceps;reps
515;dumbbell hammer curl on exercise ball;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
517;dumbbell hammer curls (with arm blaster);upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
518;dumbbell high curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
519;dumbbell incline alternate press;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
520;dumbbell incline bench press;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;horizontal_push;reps
521;dumbbell incline biceps curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
522;dumbbell incline breeding;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
523;dumbbell incline curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
525;dumbbell incline fly;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
526;dumbbell incline fly on exercise ball;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
527;dumbbell incline hammer curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
528;dumbbell incline hammer press;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
529;dumbbell incline hammer press on exercise ball;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
530;dumbbell incline inner biceps curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
531;dumbbell incline one arm fly;chest;dumbbell;pectorals;both;strength_training;advanced;reps;3;10;;isolation_chest;reps
532;dumbbell incline one arm fly on exercise ball;chest;dumbbell;pectorals;both;strength_training;advanced;reps;3;10;;isolation_chest;reps
533;dumbbell incline one arm hammer press;upper arms;dumbbell;triceps;both;strength_training;advanced;reps;3;10;;isolation_triceps;reps
